,uriOrg,labelOrg,typesOrg,orgMainType,tot_members_number
3617,http://www.wikidata.org/entity/Q49122,Harvard Law School,graduate school | law school | publishing company,educational institution,667
5092,http://www.wikidata.org/entity/Q687323,Federal Court of Justice of Germany,federal courts (germany) | supreme court,not classified organisation,599
2236,http://www.wikidata.org/entity/Q230492,University of Michigan,public educational institution of the united states | public research university,university,281
6487,http://www.wikidata.org/entity/Q911830,University of Michigan Law School,law school,educational institution,271
432,http://www.wikidata.org/entity/Q1143289,Yale Law School,academic publisher | law school,educational institution,266
988,http://www.wikidata.org/entity/Q13371,Harvard University,colonial colleges | private not-for-profit educational institution | private university | research university,private university,246
451,http://www.wikidata.org/entity/Q1149089,Columbia Law School,law school,educational institution,246
1557,http://www.wikidata.org/entity/Q165980,University of Vienna,university,university,229
6117,http://www.wikidata.org/entity/Q7896545,University of Virginia School of Law,faculty | law school,university,221
640,http://www.wikidata.org/entity/Q12047389,"Faculty of Law, Charles University in Prague",faculty | faculty of law | research institute,university,217
6375,http://www.wikidata.org/entity/Q846101,Georgetown University Law Center,law school,educational institution,204
5983,http://www.wikidata.org/entity/Q7842,University of Tokyo,university,university,198
754,http://www.wikidata.org/entity/Q1233784,Inner Temple,educational institution | inns of court | university building,university,175
2158,http://www.wikidata.org/entity/Q21578,Princeton University,academic publisher | colonial colleges | private not-for-profit educational institution | private university | research university,private university,158
1312,http://www.wikidata.org/entity/Q152303,University of Wisconsin Law School,academic publisher | law school,educational institution,153
456,http://www.wikidata.org/entity/Q115095,Institut de Droit International,learned society | national academy | non-governmental organization | nonprofit organization,learned society,153
3609,http://www.wikidata.org/entity/Q49112,Yale University,academic publisher | colonial colleges | private not-for-profit educational institution | private university | production company | research university,private university,151
1458,http://www.wikidata.org/entity/Q160302,University of Edinburgh,ancient university | open-access publisher | organization | public university,public university,151
4235,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München,comprehensive university | public research university | public university | university of excellence,public university,146
3606,http://www.wikidata.org/entity/Q49088,Columbia University,colonial colleges | organization | private not-for-profit educational institution | private university | research university,private university,143
1270,http://www.wikidata.org/entity/Q150793,Sturmabteilung,paramilitary organization | political faction | political organization,not classified organisation,141
1286,http://www.wikidata.org/entity/Q151510,Heidelberg University,comprehensive university | open-access publisher | public research university | public university | university campus | university of excellence,public university,137
6376,http://www.wikidata.org/entity/Q846173,New York University School of Law,faculty | law school | organization,university,137
1965,http://www.wikidata.org/entity/Q194223,University of Buenos Aires,open-access publisher | public university,public university,135
1414,http://www.wikidata.org/entity/Q157412,Gray's Inn,inns of court,not classified organisation,133
3259,http://www.wikidata.org/entity/Q432637,George Washington University,open-access publisher | private not-for-profit educational institution | private university | research university,private university,131
6110,http://www.wikidata.org/entity/Q7896446,University of Texas School of Law,law school,educational institution,121
6094,http://www.wikidata.org/entity/Q7896088,University of Pennsylvania Carey Law School,law school,educational institution,118
2849,http://www.wikidata.org/entity/Q332342,Trinity College,academic department | college of the university of cambridge | educational institution | school building | university | university building,university,116
1639,http://www.wikidata.org/entity/Q170027,University of London,educational organization | higher education institution | open-access publisher | university,university,115
162,http://www.wikidata.org/entity/Q1067935,Laval University,open-access publisher | public research university | university in quebec,university,113
1935,http://www.wikidata.org/entity/Q189441,Jagiellonian University,public university | university,public university,111
1348,http://www.wikidata.org/entity/Q153978,University of Tübingen,comprehensive university | open-access publisher | organization | public research university | public university | university of excellence,public university,108
3543,http://www.wikidata.org/entity/Q486156,University of Oslo,open-access publisher | public university,public university,107
1306,http://www.wikidata.org/entity/Q152171,University of Bonn,comprehensive university | local internet registry | public research university | public university | publishing company | university of excellence,public university,107
2148,http://www.wikidata.org/entity/Q213439,University of Virginia,public educational institution of the united states | public research university,university,105
1736,http://www.wikidata.org/entity/Q174158,Hebrew University of Jerusalem,geographic location | university,university,105
2416,http://www.wikidata.org/entity/Q258464,Trinity College Dublin,collegiate university | nonprofit organization,university,103
3612,http://www.wikidata.org/entity/Q49116,Dartmouth College,colonial colleges | open-access publisher | private not-for-profit educational institution | private university | research university,private university,102
3348,http://www.wikidata.org/entity/Q463303,American Academy of Arts and Sciences,academic publisher | learned society | nonprofit organization,learned society,102
3618,http://www.wikidata.org/entity/Q49123,Harvard College,college,educational institution,101
1395,http://www.wikidata.org/entity/Q156598,Leiden University,organization | university,university,99
1333,http://www.wikidata.org/entity/Q152838,University of Göttingen,campus university | comprehensive university | nonprofit organization | public university | stiftungshochschule,public university,96
3192,http://www.wikidata.org/entity/Q41506,Stanford University,open-access publisher | private not-for-profit educational institution | private university | research university,private university,94
3611,http://www.wikidata.org/entity/Q49115,Cornell University,land-grant university | private not-for-profit educational institution | private university | research university | sun grant institution,private university,91
1948,http://www.wikidata.org/entity/Q192334,University of North Carolina at Chapel Hill,public educational institution of the united states | public research university,university,90
1301,http://www.wikidata.org/entity/Q152087,Humboldt-Universität zu Berlin,comprehensive university | open-access publisher | public research university | university of excellence,university,89
3758,http://www.wikidata.org/entity/Q501758,University of Florida,land-grant university | open-access publisher | public educational institution of the united states | public research university | public university,public university,85
3294,http://www.wikidata.org/entity/Q44687,Schutzstaffel,military organization | paramilitary organization | squadron,not classified organisation,85
3558,http://www.wikidata.org/entity/Q487556,University of Sydney,public research university,university,85
2855,http://www.wikidata.org/entity/Q333886,Georgetown University,catholic university | private not-for-profit educational institution | private university | research university,private university,84
1604,http://www.wikidata.org/entity/Q168756,"University of California, Berkeley",land-grant university | public educational institution of the united states | public research university | united nations depository library,university,83
3443,http://www.wikidata.org/entity/Q4765985,Ankara University Law School,law school,educational institution,83
1123,http://www.wikidata.org/entity/Q144488,University of Warsaw,campus university | university,university,83
3657,http://www.wikidata.org/entity/Q49210,New York University,private not-for-profit educational institution | private university | research university | workplace,private university,82
1809,http://www.wikidata.org/entity/Q178848,University of Notre Dame,academic publisher | catholic university | open-access publisher | private not-for-profit educational institution | private university,private university,80
6077,http://www.wikidata.org/entity/Q7895798,University of Minnesota Law School,law school,educational institution,80
2423,http://www.wikidata.org/entity/Q2599077,Yale College,college,educational institution,80
6663,http://www.wikidata.org/entity/Q9842,primary school,educational stage | type of educational institution,educational institution,80
4870,http://www.wikidata.org/entity/Q658192,Vilnius University,business | open-access publisher | public university,public university,80
6561,http://www.wikidata.org/entity/Q9379670,"Faculty of Law and Administration, University of Warsaw",academic institution | faculty of law,university,78
70,http://www.wikidata.org/entity/Q1036763,University of Chicago Law School,law school,educational institution,78
6069,http://www.wikidata.org/entity/Q7895557,University of Iowa College of Law,law school,educational institution,78
1962,http://www.wikidata.org/entity/Q1938003,Phi Beta Kappa Society,academic publisher | honor society | learned society | organization,learned society,76
1899,http://www.wikidata.org/entity/Q185246,Uppsala University,swedish government agency | university,university,76
6247,http://www.wikidata.org/entity/Q8012895,Stanford Law School,faculty | law school | organization,university,75
6053,http://www.wikidata.org/entity/Q7895273,University of Cincinnati College of Law,law school,educational institution,75
5825,http://www.wikidata.org/entity/Q761534,University of Georgia,university,university,75
5324,http://www.wikidata.org/entity/Q7152118,Paul M. Hebert Law Center,law school,educational institution,75
5205,http://www.wikidata.org/entity/Q7032922,Nigerian Law School,law school,educational institution,75
2773,http://www.wikidata.org/entity/Q315658,University of Wrocław,open-access publisher | university,university,75
1307,http://www.wikidata.org/entity/Q1521725,Louisiana State University,land-grant university | public educational institution of the united states | public university | research university,public university,74
6294,http://www.wikidata.org/entity/Q805285,Balliol College,college of the university of oxford | university building,university,73
5236,http://www.wikidata.org/entity/Q7060409,Northwestern University Pritzker School of Law,law school,educational institution,72
1165,http://www.wikidata.org/entity/Q14691855,Tulane University Law School,academic publisher | law school,educational institution,72
1349,http://www.wikidata.org/entity/Q153987,University of Freiburg,comprehensive university | open-access publisher | public university,public university,71
1366,http://www.wikidata.org/entity/Q154804,Leipzig University,comprehensive university | open-access publisher | public university | university of applied sciences,public university,71
4161,http://www.wikidata.org/entity/Q5428890,Faculty of Advocates,organization,not classified organisation,71
2871,http://www.wikidata.org/entity/Q336264,Kyoto University,academic publisher | comprehensive university | national university | university,university,70
3734,http://www.wikidata.org/entity/Q499451,Rutgers University,colonial colleges | land-grant university | public research university | sea grant institution,university,69
1603,http://www.wikidata.org/entity/Q168751,Duke University,open-access publisher | private not-for-profit educational institution | university,university,68
4452,http://www.wikidata.org/entity/Q579968,University of Missouri,land-grant university | public educational institution of the united states | public research university,university,67
6374,http://www.wikidata.org/entity/Q845768,Cornell Law School,law school,educational institution,67
2242,http://www.wikidata.org/entity/Q232141,University of Chile,open-access publisher | public university | research institute,public university,67
2717,http://www.wikidata.org/entity/Q3064264,Boston University School of Law,law school | private university,private university,67
2902,http://www.wikidata.org/entity/Q34433,University of Oxford,collegiate university | educational organization | exempt charity | higher education institution | organization | public university,public university,67
1945,http://www.wikidata.org/entity/Q192088,Eton College,boarding school | boys' school | independent school | public school,educational institution,66
2133,http://www.wikidata.org/entity/Q209842,University of Paris,former entity | university in france,university,65
3838,http://www.wikidata.org/entity/Q50662,Goethe University Frankfurt,comprehensive university | local internet registry | organization | public university,public university,65
6368,http://www.wikidata.org/entity/Q841581,Sofia University,open-access publisher | public university,public university,64
1380,http://www.wikidata.org/entity/Q15574,University of Adelaide,public university,public university,64
218,http://www.wikidata.org/entity/Q1091287,Chuo University,university,university,64
6361,http://www.wikidata.org/entity/Q838330,University of Wisconsin–Madison,land-grant university | public educational institution of the united states | public research university,university,63
1404,http://www.wikidata.org/entity/Q1567748,Union College,private not-for-profit educational institution | private university,private university,63
2731,http://www.wikidata.org/entity/Q309331,Ohio State University,land-grant university | public educational institution of the united states | public research university,university,63
3664,http://www.wikidata.org/entity/Q492318,University of Alabama,public educational institution of the united states | public university,public university,62
1400,http://www.wikidata.org/entity/Q156725,University of Hamburg,comprehensive university | public university | university of excellence,public university,61
3020,http://www.wikidata.org/entity/Q35794,University of Cambridge,collegiate university | educational organization | organization | public research university,university,61
1955,http://www.wikidata.org/entity/Q193196,University College London,academic institution | educational organization | higher education institution | university college,university,60
4569,http://www.wikidata.org/entity/Q6099542,Istanbul University Faculty of Law,faculty | law school | school,university,60
1402,http://www.wikidata.org/entity/Q156737,Kiel University,comprehensive university | local internet registry | public university,public university,60
3406,http://www.wikidata.org/entity/Q4709336,Albany Law School,law school | private not-for-profit educational institution,educational institution,59
4199,http://www.wikidata.org/entity/Q5468082,Fordham University School of Law,law school,educational institution,59
1743,http://www.wikidata.org/entity/Q174570,London School of Economics and Political Science,educational organization | higher education institution | public research university,university,58
2857,http://www.wikidata.org/entity/Q3339059,New York Law School,law school | private not-for-profit educational institution,educational institution,57
2764,http://www.wikidata.org/entity/Q31519,Charles University,czech research institution | organization | public university | publishing company | university,public university,56
3613,http://www.wikidata.org/entity/Q49117,University of Pennsylvania,colonial colleges | private not-for-profit educational institution | private university | research university,private university,56
4000,http://www.wikidata.org/entity/Q52413,University of Kansas,open-access publisher | public educational institution of the united states | public research university | publishing company,university,55
2308,http://www.wikidata.org/entity/Q245247,King's College London,academic publisher | constituent college | educational organization | public research university,university,55
789,http://www.wikidata.org/entity/Q1244704,Trinity Hall,college | college of the university of cambridge | university building,university,55
6041,http://www.wikidata.org/entity/Q7895034,University of Alabama School of Law,law school,educational institution,55
444,http://www.wikidata.org/entity/Q1145306,University of Calcutta,state public university | university,public university,54
1232,http://www.wikidata.org/entity/Q1480421,University of Dhaka,public university,public university,54
4640,http://www.wikidata.org/entity/Q622683,University of Graz,open-access publisher | university,university,54
164,http://www.wikidata.org/entity/Q1068258,University College Dublin,organization | public university | research university,public university,54
6377,http://www.wikidata.org/entity/Q846183,"University of California, Berkeley, School of Law",law school,educational institution,54
3097,http://www.wikidata.org/entity/Q390287,Eötvös Loránd University,open-access publisher | public research university,university,54
2578,http://www.wikidata.org/entity/Q28695,University of Helsinki,organization | public university,public university,54
2790,http://www.wikidata.org/entity/Q319239,Tel Aviv University,open-access publisher | ottoman association | university,university,53
5996,http://www.wikidata.org/entity/Q7866339,USC Gould School of Law,law school,educational institution,53
2079,http://www.wikidata.org/entity/Q204181,University of Tartu,public university | university,public university,53
1886,http://www.wikidata.org/entity/Q182973,University of Iowa,public educational institution of the united states | public research university | university,university,53
4213,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens,university,university,53
3660,http://www.wikidata.org/entity/Q49213,University of Texas at Austin,public educational institution of the united states | public research university,university,53
3610,http://www.wikidata.org/entity/Q49114,Brown University,academic publisher | colonial colleges | private not-for-profit educational institution | private university | research university,private university,52
6181,http://www.wikidata.org/entity/Q7971641,Washington & Jefferson College,liberal arts college in the united states | private not-for-profit educational institution,educational institution,52
2059,http://www.wikidata.org/entity/Q201492,McGill University,open-access publisher | public research university | university in quebec,university,52
937,http://www.wikidata.org/entity/Q130965,Fordham University,private not-for-profit educational institution | private university,private university,52
6184,http://www.wikidata.org/entity/Q7972542,Washington and Lee University School of Law,law school,educational institution,51
1951,http://www.wikidata.org/entity/Q192775,University of Glasgow,open-access publisher | public research university,university,51
2607,http://www.wikidata.org/entity/Q29052,Vanderbilt University,arboretum | open-access publisher | private not-for-profit educational institution | private university,private university,51
1853,http://www.wikidata.org/entity/Q180865,University of Toronto,collegiate university | public research university | university in ontario,university,51
3629,http://www.wikidata.org/entity/Q49166,Williams College,liberal arts college | private not-for-profit educational institution,educational institution,51
1918,http://www.wikidata.org/entity/Q186285,University of Copenhagen,organization | public research university,university,50
593,http://www.wikidata.org/entity/Q1193547,Tulane University,private not-for-profit educational institution | university | university campus,university,50
5617,http://www.wikidata.org/entity/Q746592,University of the Philippines,national university | open-access publisher | research university | university system,university,50
4880,http://www.wikidata.org/entity/Q6608367,Indiana University,educational institution | state university system,university,50
944,http://www.wikidata.org/entity/Q131252,University of Chicago,private not-for-profit educational institution | private university | research university,private university,50
6317,http://www.wikidata.org/entity/Q81162,Magdalen College,college of the university of oxford,university,50
3110,http://www.wikidata.org/entity/Q392189,Université de Montréal,public research university | university in quebec,university,50
1378,http://www.wikidata.org/entity/Q155354,University of Marburg,comprehensive university | public university,public university,50
2180,http://www.wikidata.org/entity/Q219694,Complutense University of Madrid,public university,public university,49
1049,http://www.wikidata.org/entity/Q1377,University of Ljubljana,academic publisher | organization | public university,public university,49
1598,http://www.wikidata.org/entity/Q168515,University of Utah,public educational institution of the united states | public research university,university,49
1594,http://www.wikidata.org/entity/Q168426,University of Münster,comprehensive university | local internet registry | public university,public university,49
1495,http://www.wikidata.org/entity/Q161976,University of Würzburg,comprehensive university | public university,public university,49
1805,http://www.wikidata.org/entity/Q1785291,Washington and Lee University,private not-for-profit educational institution | private university,private university,48
2197,http://www.wikidata.org/entity/Q222738,National Autonomous University of Mexico,open-access publisher | public research university | university,university,48
5479,http://www.wikidata.org/entity/Q7348679,University of Washington School of Law,faculty | law school,university,47
3666,http://www.wikidata.org/entity/Q492467,University of Auckland,public university,public university,47
4141,http://www.wikidata.org/entity/Q54096,University of Cologne,comprehensive university | local internet registry | open-access publisher | public university,public university,47
3911,http://www.wikidata.org/entity/Q514212,Supreme Court of the Philippines,supreme court,not classified organisation,47
5118,http://www.wikidata.org/entity/Q6912389,Moritz College of Law,law school,educational institution,47
5043,http://www.wikidata.org/entity/Q6811823,Melbourne Law School,faculty | graduate school | law school | school,university,46
3016,http://www.wikidata.org/entity/Q3577853,"University of California College of the Law, San Francisco",academic publisher | law school | public educational institution of the united states | university,university,46
4995,http://www.wikidata.org/entity/Q6772633,Marquette University Law School,law school,educational institution,46
4071,http://www.wikidata.org/entity/Q5312901,Duke University School of Law,law school,educational institution,46
1859,http://www.wikidata.org/entity/Q1812600,Brooklyn Law School,law school | private not-for-profit educational institution,educational institution,46
455,http://www.wikidata.org/entity/Q1150437,Victoria University of Wellington,public university,public university,46
3628,http://www.wikidata.org/entity/Q49165,Amherst College,liberal arts college | private not-for-profit educational institution,educational institution,46
2194,http://www.wikidata.org/entity/Q221653,Utrecht University,public research university,university,46
1929,http://www.wikidata.org/entity/Q188370,Marquette University,private not-for-profit educational institution | university,university,45
6061,http://www.wikidata.org/entity/Q7895457,University of Georgia School of Law,law school,educational institution,45
151,http://www.wikidata.org/entity/Q1065,United Nations,intergovernmental organization | international organization,company or gov. agency,45
2787,http://www.wikidata.org/entity/Q319078,University of Melbourne,open-access publisher | public university,public university,45
2827,http://www.wikidata.org/entity/Q32746,National Taiwan University,comprehensive university | national university | open-access publisher | research university,university,44
4735,http://www.wikidata.org/entity/Q640652,University of Oklahoma,public educational institution of the united states | public research university | university,university,44
2174,http://www.wikidata.org/entity/Q218506,Lund University,organization | swedish government agency | university,university,43
2156,http://www.wikidata.org/entity/Q214341,University of Amsterdam,research institute | university,university,43
3630,http://www.wikidata.org/entity/Q49167,Wesleyan University,private not-for-profit educational institution | university,university,43
5613,http://www.wikidata.org/entity/Q745967,Christ Church,college of the university of oxford,university,43
1560,http://www.wikidata.org/entity/Q1661231,Indian Civil Service,civil service | government agency,company or gov. agency,42
3608,http://www.wikidata.org/entity/Q49110,Boston University,open-access publisher | private not-for-profit educational institution | university,university,42
3358,http://www.wikidata.org/entity/Q46492,Meiji University,academic publisher | private university,private university,42
2104,http://www.wikidata.org/entity/Q2069586,King's Inns,educational institution | educational organization | nonprofit organization | regulatory college,educational institution,42
6043,http://www.wikidata.org/entity/Q7895080,University of Arkansas School of Law,law school,educational institution,42
3111,http://www.wikidata.org/entity/Q392667,Wake Forest University,private not-for-profit educational institution | university,university,42
5119,http://www.wikidata.org/entity/Q691283,St John's College,college of the university of cambridge | university building,university,42
1334,http://www.wikidata.org/entity/Q153006,Freie Universität Berlin,comprehensive university | open-access publisher | public research university | university of excellence,university,42
6254,http://www.wikidata.org/entity/Q80207,Lviv University,public university,public university,42
37,http://www.wikidata.org/entity/Q1024426,University of South Carolina,public educational institution of the united states | public university | research university,public university,42
4561,http://www.wikidata.org/entity/Q608338,University of Bucharest,open-access publisher | public university,public university,41
1356,http://www.wikidata.org/entity/Q154561,Friedrich Schiller University Jena,collection | comprehensive university | public university,public university,41
2732,http://www.wikidata.org/entity/Q309350,Northwestern University,private not-for-profit educational institution | research institute | university,university,41
6427,http://www.wikidata.org/entity/Q875637,College of William & Mary,public educational institution of the united states | public research university,university,41
4449,http://www.wikidata.org/entity/Q579321,Dalhousie University,public research university | university in nova scotia,university,40
2689,http://www.wikidata.org/entity/Q3016196,Osgoode Hall Law School,law school,educational institution,40
954,http://www.wikidata.org/entity/Q13164,Moscow State University,public university,public university,40
3196,http://www.wikidata.org/entity/Q41726,freemasonry,fraternal organization | social group,not classified organisation,40
475,http://www.wikidata.org/entity/Q115376,West Virginia University,land-grant university | open-access publisher | public educational institution of the united states | public research university,university,40
1342,http://www.wikidata.org/entity/Q1536258,Southern Methodist University,private not-for-profit educational institution | private university,private university,39
2850,http://www.wikidata.org/entity/Q332498,Brigham Young University,organization | private not-for-profit educational institution | private university | production company,private university,39
1904,http://www.wikidata.org/entity/Q1856423,University of the Republic,public university,public university,39
3123,http://www.wikidata.org/entity/Q40025,Friedrich-Alexander-Universität Erlangen-Nürnberg,comprehensive university | organization | public research university | public university,public university,39
6314,http://www.wikidata.org/entity/Q81087,"University College, Oxford",building complex | college of the university of oxford,university,39
3344,http://www.wikidata.org/entity/Q4614,University of Southern California,open-access publisher | private not-for-profit educational institution | private university | research university,private university,39
2258,http://www.wikidata.org/entity/Q235034,University of Pittsburgh,open-access publisher | private university | public educational institution of the united states | public–private partnership | research university,private university,39
6215,http://www.wikidata.org/entity/Q7986925,West Virginia University College of Law,university,university,38
5886,http://www.wikidata.org/entity/Q7698689,Temple University Beasley School of Law,law school,educational institution,38
6428,http://www.wikidata.org/entity/Q875788,University of Innsbruck,public university,public university,38
453,http://www.wikidata.org/entity/Q1150105,University of Tennessee,land-grant university | neighborhood | public educational institution of the united states | public university | research university | sun grant institution,public university,37
6514,http://www.wikidata.org/entity/Q925942,Middle Temple,inns of court | university building,university,37
3042,http://www.wikidata.org/entity/Q368643,University of Coimbra,open-access publisher | organization | public university,public university,37
3335,http://www.wikidata.org/entity/Q457281,University of Illinois Urbana–Champaign,land-grant university | public educational institution of the united states | public research university,university,37
1048,http://www.wikidata.org/entity/Q1376987,New College,college of the university of oxford | university building,university,37
2124,http://www.wikidata.org/entity/Q209344,Sapienza University of Rome,organization | public university,public university,37
2384,http://www.wikidata.org/entity/Q253439,Royal Netherlands Academy of Arts and Sciences,academic publisher | academy of sciences | national academy | quango,academy of sciences,36
4490,http://www.wikidata.org/entity/Q5921126,Howard University School of Law,law school,educational institution,36
412,http://www.wikidata.org/entity/Q1138384,University of Mississippi,public educational institution of the united states | public university | research university,public university,36
6324,http://www.wikidata.org/entity/Q812573,Baylor University,church college | private not-for-profit educational institution | private university,private university,36
2110,http://www.wikidata.org/entity/Q2075365,University of Puerto Rico,public university,public university,36
2778,http://www.wikidata.org/entity/Q317053,University of Giessen,comprehensive university | public university,public university,36
2492,http://www.wikidata.org/entity/Q274486,Waseda University,academic publisher | private university,private university,35
5180,http://www.wikidata.org/entity/Q700758,Saarland University,campus university | comprehensive university | open-access publisher | public university,public university,35
1043,http://www.wikidata.org/entity/Q137503,University of Łódź,open-access publisher | university,university,35
224,http://www.wikidata.org/entity/Q1093910,City College of New York,higher education institution | public educational institution of the united states,educational institution,35
6555,http://www.wikidata.org/entity/Q9379654,Masaryk University Faculty of Law,faculty of law,university,35
5242,http://www.wikidata.org/entity/Q7063457,Notre Dame Law School,law school,educational institution,35
958,http://www.wikidata.org/entity/Q1320232,University of Detroit Mercy,catholic school | private not-for-profit educational institution | university,university,35
1074,http://www.wikidata.org/entity/Q1401524,University of Santo Tomas,open-access publisher | pontifical university | research university,university,35
431,http://www.wikidata.org/entity/Q1143281,Rugby School,boarding school | independent school | public school,educational institution,35
3972,http://www.wikidata.org/entity/Q5193960,Cumberland School of Law,law school,educational institution,35
2429,http://www.wikidata.org/entity/Q261506,Makerere University,public university,public university,34
6320,http://www.wikidata.org/entity/Q81173,Exeter College,college of the university of oxford | university building,university,34
6071,http://www.wikidata.org/entity/Q7895594,University of Kentucky College of Law,law school,educational institution,34
5868,http://www.wikidata.org/entity/Q766145,University of Oregon,public educational institution of the united states | public university | research university,public university,34
1105,http://www.wikidata.org/entity/Q1426464,Phillips Exeter Academy,boarding school | first school | primary school | private school | university-preparatory school,university,34
2232,http://www.wikidata.org/entity/Q2302336,University of Montana,public educational institution of the united states | public university | research university,public university,34
5608,http://www.wikidata.org/entity/Q7456791,Seton Hall University School of Law,law school,educational institution,34
2744,http://www.wikidata.org/entity/Q3113011,Hamilton College,liberal arts college in the united states | private not-for-profit educational institution,educational institution,34
5149,http://www.wikidata.org/entity/Q69482,Lincoln's Inn,inns of court,not classified organisation,33
2100,http://www.wikidata.org/entity/Q206702,University of Zurich,comprehensive university | university,university,33
2927,http://www.wikidata.org/entity/Q348402,Adam Mickiewicz University in Poznań,open-access publisher | university,university,33
6416,http://www.wikidata.org/entity/Q866012,University of Queensland,public research university | public university,public university,33
160,http://www.wikidata.org/entity/Q1067870,Charterhouse School,boarding school | independent school | public school | school,educational institution,33
4483,http://www.wikidata.org/entity/Q590643,Miami University,public educational institution of the united states | public research university,university,33
1546,http://www.wikidata.org/entity/Q1652019,Supreme Court of Denmark,supreme court,not classified organisation,33
4523,http://www.wikidata.org/entity/Q600231,Supreme Court of Poland,supreme court,not classified organisation,33
6074,http://www.wikidata.org/entity/Q7895695,University of Maryland Francis King Carey School of Law,law school,educational institution,32
5866,http://www.wikidata.org/entity/Q7660015,Sydney Law School,faculty | law school,university,32
5982,http://www.wikidata.org/entity/Q784171,National University of La Plata,academic publisher | open-access publisher | public university,public university,32
5515,http://www.wikidata.org/entity/Q738258,University of Miami,private not-for-profit educational institution | university,university,32
5516,http://www.wikidata.org/entity/Q7382811,Rutgers School of Law–Newark,law school,educational institution,32
3126,http://www.wikidata.org/entity/Q401034,Ahmadu Bello University,public university,public university,32
1409,http://www.wikidata.org/entity/Q1570489,National University of Córdoba,open-access publisher | public university,public university,32
1744,http://www.wikidata.org/entity/Q174710,"University of California, Los Angeles",organization | public educational institution of the united states | public research university | university | university campus,university,32
6460,http://www.wikidata.org/entity/Q895401,Bowdoin College,liberal arts college | private not-for-profit educational institution | university,university,32
4529,http://www.wikidata.org/entity/Q6023633,Indiana University Maurer School of Law,law school,educational institution,32
1167,http://www.wikidata.org/entity/Q14693404,University of Mississippi School of Law,law school,educational institution,32
6613,http://www.wikidata.org/entity/Q956056,Transylvania University,private not-for-profit educational institution | private university,private university,31
171,http://www.wikidata.org/entity/Q1070333,University of Arkansas,land-grant university | public educational institution of the united states | public research university,university,31
2452,http://www.wikidata.org/entity/Q2667184,"Law School, University of São Paulo",faculty | law school | university building,university,31
1828,http://www.wikidata.org/entity/Q1798612,Mercer University,private not-for-profit educational institution | university,university,31
4874,http://www.wikidata.org/entity/Q659080,University of Bern,comprehensive university | open-access publisher | public university,public university,31
3685,http://www.wikidata.org/entity/Q4947841,Boston College Law School,law school,educational institution,31
6388,http://www.wikidata.org/entity/Q850730,University of Groningen,organization | public research university,university,31
2193,http://www.wikidata.org/entity/Q221645,Stockholm University,organization | swedish government agency | university,university,31
2803,http://www.wikidata.org/entity/Q32120,Martin Luther University Halle-Wittenberg,comprehensive university | organization | public university,public university,31
6507,http://www.wikidata.org/entity/Q9219,United States Military Academy,direct reporting unit | military academy | military museum | public educational institution of the united states,educational institution,31
565,http://www.wikidata.org/entity/Q1185955,"University of Nevada, Reno",land-grant university | public educational institution of the united states | public research university,university,31
1909,http://www.wikidata.org/entity/Q186047,Valparaiso University,open-access publisher | private not-for-profit educational institution | private university,private university,31
4593,http://www.wikidata.org/entity/Q6133193,James E. Rogers College of Law,law school,educational institution,31
6636,http://www.wikidata.org/entity/Q968559,University of North Dakota,public educational institution of the united states | public university | research university,public university,30
2466,http://www.wikidata.org/entity/Q270222,Michigan State University,land-grant university | public educational institution of the united states | public research university,university,30
1967,http://www.wikidata.org/entity/Q194445,Cairo University,public university | university,public university,30
1372,http://www.wikidata.org/entity/Q1549932,University of the Punjab,open-access publisher | public university,public university,30
4100,http://www.wikidata.org/entity/Q533235,Ateneo de Manila University,jesuit university | private university | research university,private university,30
6070,http://www.wikidata.org/entity/Q7895581,University of Kansas School of Law,law school,educational institution,30
2385,http://www.wikidata.org/entity/Q2537765,Wadham College,college of the university of oxford | university building,university,30
6137,http://www.wikidata.org/entity/Q7914456,Vanderbilt University Law School,faculty | law school,university,30
92,http://www.wikidata.org/entity/Q1047060,Case Western Reserve University,open-access publisher | private not-for-profit educational institution | private university,private university,30
6078,http://www.wikidata.org/entity/Q7895840,University of Missouri School of Law,law school,educational institution,30
1496,http://www.wikidata.org/entity/Q161982,Johannes Gutenberg University Mainz,comprehensive university | local internet registry | open-access publisher | public university,public university,30
6562,http://www.wikidata.org/entity/Q9379671,Faculty of Law and Administration of Adam Mickiewicz University in Poznań,academic institution | faculty,university,30
2735,http://www.wikidata.org/entity/Q309948,Ruhr University Bochum,comprehensive university | local internet registry | public university,public university,30
800,http://www.wikidata.org/entity/Q1247373,Harrow School,boarding school | boys' school | independent school | public school,educational institution,30
6470,http://www.wikidata.org/entity/Q899030,Brasenose College,building complex | college of the university of oxford,university,30
6553,http://www.wikidata.org/entity/Q9379652,Law Faculty of Lviv University,faculty of law,university,29
6413,http://www.wikidata.org/entity/Q863940,Gonville and Caius College,college of the university of cambridge | university building,university,29
975,http://www.wikidata.org/entity/Q1330634,University of Brasília,open-access publisher | public educational institution | publishing company | university,university,29
6067,http://www.wikidata.org/entity/Q7895523,University of Illinois College of Law,law school,educational institution,29
1235,http://www.wikidata.org/entity/Q14875553,McGill University Faculty of Law,faculty | faculty of law | law school,university,29
6240,http://www.wikidata.org/entity/Q8003310,Willamette University College of Law,law school,educational institution,29
